"","sim","sample","type","control_mean","control_sd","beta","se","t_stat","pval"
"232",232,9000,"OLS",187.564700704225,257.792729638646,-5.88067916023955,5.19611940676502,-1.13174442307528,0.257772059506821
"233",233,9500,"OLS",175.304435913841,224.000826656837,14.9785613840184,4.99451445352376,2.99900251033424,0.00271566914611842
"234",234,10000,"OLS",185.088472906404,255.803912130958,-5.4433967642716,4.87728607158007,-1.11607084029585,0.264418635325805
"235",235,10500,"OLS",184.416540356196,241.738517016718,-3.93090266948561,4.74602029843162,-0.828252393017497,0.407546406578479
"236",236,11000,"OLS",177.015485516488,227.555210150989,11.7157792267529,4.62230372492063,2.53461908259913,0.0112707133143243
"237",237,11500,"OLS",184.204337307759,248.05268750744,-1.37290023441717,4.51851454450874,-0.303838843693803,0.761256169782846
"238",238,12000,"OLS",182.664320026503,248.653271916166,3.18064056380441,4.45487662631374,0.713968271313561,0.475260687898657
"239",239,12500,"OLS",183.852711945284,242.382764256061,1.68301958537804,4.42017433919576,0.380758643489222,0.70338882084717
"240",240,13000,"OLS",184.579675791405,254.178628897733,1.36321230641204,4.3356518571694,0.314419227216744,0.753207701293094
"241",241,13500,"OLS",181.473391812865,237.337068933,7.7233048838319,4.24541237052671,1.81921194215433,0.0689012464146452
"242",242,14000,"OLS",188.057378223496,250.920923307622,-4.61599645711359,4.19037524175769,-1.10157114597149,0.270667098703413
"243",243,1000,"OLS",179.700779727096,295.571777118652,8.82591431807921,17.6323926356743,0.500551144727936,0.616797416571978
"244",244,1500,"OLS",192.969429347826,302.434447976197,-16.7717853687685,13.5609540886841,-1.23677030827525,0.216366225745276
"245",245,2000,"OLS",184.587906504065,243.248116396207,3.19801869278526,11.489711573861,0.278337595528569,0.780782020025244
"246",246,2500,"OLS",184.210887096774,279.832021997356,1.4645097286228,10.2540814770058,0.142822127160476,0.88644217992664
"247",247,3000,"OLS",181.740839440373,223.250990571214,3.04268290785909,9.12598553868395,0.333408692678892,0.738849117850588
"248",248,3500,"OLS",185.953703703704,269.646343257487,-1.28299264275532,8.57734553479771,-0.149579218599776,0.881105228029957
"249",249,4000,"OLS",184.937789203085,252.783865893812,-0.460416940311282,7.88559957587806,-0.0583870555283698,0.953443243325415
"250",250,4500,"OLS",189.217621145374,252.020905041339,-11.5597736117416,7.37097752669096,-1.56828230311144,0.116885605093545
"251",251,5000,"OLS",184.495329000812,253.95919381594,-5.49887510010339,6.87019829644022,-0.800395398041513,0.423519789026576
"252",252,5500,"OLS",185.039219330855,249.042304435257,-2.02142573654884,6.64278467319926,-0.304303968289746,0.760907838815099
"253",253,6000,"OLS",179.016358228685,242.301666318899,14.5460156785104,6.48147712033127,2.24424392903927,0.0248530302354623
"254",254,6500,"OLS",183.571337983513,248.665864490258,5.67432848391095,6.20175937900212,0.914954634183819,0.36024939688246
"255",255,7000,"OLS",189.08669527897,246.13417561843,-6.57785077112416,5.92048544972947,-1.11103233459086,0.266592602286437
